distance,consume,speed,temp_outside,gas_type,AC,rain,sun,consume/distance,gas_type_bin
12.4,4.3,49,17,E10,0,0,0,0.34677419354838707,0
7.0,5.2,25,17,E10,0,0,0,0.7428571428571429,0
11.8,4.1,37,10,E10,0,0,0,0.34745762711864403,0
20.1,4.4,41,18,E10,0,0,0,0.21890547263681592,0
20.8,4.5,45,10,E10,0,0,0,0.21634615384615383,0
1.7,10.8,14,10,E10,0,1,0,6.352941176470589,0
35.9,4.7,45,12,E10,0,0,0,0.13091922005571033,0
36.9,4.8,52,5,E10,0,0,0,0.13008130081300814,0
16.8,4.0,46,8,E10,0,0,0,0.23809523809523808,0
9.9,5.0,28,9,E10,0,0,0,0.5050505050505051,0
22.9,4.6,61,7,E10,0,1,0,0.20087336244541484,0
17.3,5.0,61,6,E10,1,1,0,0.2890173410404624,0
11.8,4.3,37,7,E10,0,0,0,0.3644067796610169,0
36.6,5.2,80,7,E10,0,1,0,0.14207650273224043,0
44.9,4.7,62,8,E10,0,0,0,0.1046770601336303,0
11.8,4.2,34,9,E10,0,1,0,0.3559322033898305,0
21.6,5.3,44,9,E10,0,1,0,0.24537037037037035,0
39.4,5.3,60,9,E10,0,1,0,0.13451776649746192,0
5.1,8.1,39,4,E10,0,0,0,1.5882352941176472,0
26.6,4.8,38,7,E10,0,0,0,0.18045112781954886,0
53.2,5.1,71,2,E10,0,0,0,0.09586466165413533,0
18.9,4.4,53,2,E10,0,0,0,0.23280423280423285,0
43.5,5.0,80,3,E10,0,0,0,0.11494252873563218,0
6.1,6.3,26,5,E10,0,0,0,1.0327868852459017,0
16.4,4.8,49,5,E10,0,0,0,0.29268292682926833,0
12.3,6.1,40,6,E10,0,0,0,0.4959349593495934,0
21.1,4.6,36,8,E10,0,0,0,0.21800947867298576,0
21.1,4.8,43,7,E10,0,0,0,0.22748815165876776,0
22.7,4.7,55,6,E10,0,0,0,0.20704845814977976,0
44.4,4.8,38,8,E10,0,0,0,0.10810810810810811,0
35.8,4.4,51,6,E10,0,0,0,0.12290502793296092,0
11.8,4.9,44,0,E10,0,0,0,0.4152542372881356,0
26.2,4.9,42,6,E10,0,0,0,0.18702290076335878,0
40.6,4.4,44,3,E10,0,0,0,0.10837438423645321,0
12.4,5.3,38,-5,E10,0,0,0,0.42741935483870963,0
14.1,5.3,47,-3,E10,0,0,0,0.375886524822695,0
58.7,4.8,75,0,E10,0,0,0,0.0817717206132879,0
16.2,5.2,29,0,E10,0,0,0,0.3209876543209877,0
12.3,4.9,50,0,E10,0,0,0,0.3983739837398374,0
12.3,7.1,52,0,E10,1,1,0,0.5772357723577235,0
12.4,5.2,51,1,E10,0,0,0,0.41935483870967744,0
31.8,4.7,59,3,E10,0,0,0,0.14779874213836477,0
12.3,5.1,55,8,E10,0,0,0,0.41463414634146334,0
51.6,5.0,73,12,E10,0,0,0,0.09689922480620154,0
38.6,4.6,44,10,E10,0,0,0,0.11917098445595854,0
12.3,4.8,41,7,E10,0,0,0,0.39024390243902435,0
81.2,4.4,69,13,E10,0,0,0,0.054187192118226604,0
130.3,4.6,85,12,E10,0,0,0,0.03530314658480429,0
67.2,4.3,67,18,E10,0,0,0,0.06398809523809523,0
43.7,4.7,44,9,SP98,0,1,0,0.10755148741418764,1
12.1,4.2,43,4,SP98,0,0,0,0.34710743801652894,1
56.1,4.8,82,13,SP98,0,0,0,0.0855614973262032,1
39.0,4.1,61,16,SP98,0,0,0,0.10512820512820512,1
11.8,4.5,41,13,SP98,0,0,0,0.3813559322033898,1
38.5,4.8,63,14,SP98,0,0,0,0.12467532467532468,1
28.2,4.6,54,14,SP98,0,0,0,0.1631205673758865,1
2.9,7.4,24,14,SP98,0,0,0,2.5517241379310347,1
6.1,5.6,24,13,SP98,0,0,0,0.9180327868852459,1
19.6,4.9,43,13,SP98,0,0,0,0.25,1
22.2,3.8,42,15,SP98,0,0,0,0.17117117117117117,1
13.6,4.5,44,18,SP98,0,0,0,0.33088235294117646,1
12.6,4.1,33,17,SP98,0,0,0,0.32539682539682535,1
8.7,5.3,28,12,SP98,1,1,0,0.6091954022988506,1
7.9,4.7,31,12,SP98,1,0,0,0.5949367088607594,1
2.4,9.0,26,10,SP98,0,0,0,3.75,1
4.9,6.3,26,10,SP98,0,0,0,1.2857142857142856,1
18.1,3.6,36,19,SP98,0,0,0,0.19889502762430938,1
25.9,3.7,39,21,SP98,0,0,0,0.14285714285714288,1
1.3,11.5,21,10,SP98,0,0,0,8.846153846153847,1
14.1,5.0,22,12,SP98,0,0,0,0.3546099290780142,1
13.4,5.5,31,9,SP98,0,0,0,0.4104477611940298,1
6.4,4.7,33,8,SP98,0,0,0,0.734375,1
12.9,4.5,42,13,SP98,0,0,0,0.3488372093023256,1
12.1,4.4,33,5,SP98,0,0,0,0.3636363636363637,1
15.7,4.1,32,13,SP98,0,0,0,0.2611464968152866,1
16.2,4.4,26,11,SP98,0,0,0,0.271604938271605,1
12.8,4.6,22,12,SP98,0,0,0,0.35937499999999994,1
19.0,4.4,58,17,SP98,0,0,1,0.23157894736842108,1
29.0,4.0,27,12,SP98,0,0,0,0.13793103448275862,1
12.1,5.0,32,9,SP98,0,0,0,0.4132231404958678,1
12.3,5.2,55,10,SP98,0,0,0,0.4227642276422764,1
24.8,4.0,56,11,SP98,0,0,0,0.16129032258064516,1
12.9,5.1,34,8,SP98,0,1,0,0.3953488372093023,1
11.8,4.5,39,3,SP98,0,0,0,0.3813559322033898,1
31.4,4.6,62,11,SP98,0,0,0,0.1464968152866242,1
19.0,5.1,53,4,SP98,0,1,0,0.26842105263157895,1
13.0,5.7,38,3,SP98,1,1,0,0.43846153846153846,1
11.8,4.8,42,2,SP98,0,0,0,0.4067796610169491,1
13.0,6.2,32,4,SP98,0,0,0,0.47692307692307695,1
11.8,5.0,43,1,SP98,0,0,0,0.423728813559322,1
27.1,5.0,69,8,SP98,0,0,0,0.18450184501845018,1
5.2,4.6,38,8,SP98,0,0,0,0.8846153846153845,1
19.0,4.5,29,10,E10,0,0,0,0.23684210526315788,0
12.4,4.8,38,1,E10,0,0,0,0.3870967741935484,0
25.2,5.0,55,9,E10,0,0,0,0.19841269841269843,0
14.3,4.8,36,10,E10,0,0,0,0.3356643356643356,0
11.8,4.6,40,2,E10,0,0,0,0.38983050847457623,0
16.9,4.5,48,9,E10,0,0,1,0.26627218934911245,0
12.4,4.6,55,11,E10,0,0,1,0.3709677419354838,0
17.4,4.4,36,12,E10,0,0,1,0.25287356321839083,0
9.2,5.7,33,8,E10,0,1,0,0.6195652173913044,0
12.3,5.8,54,10,E10,0,1,0,0.47154471544715443,0
13.0,5.9,32,10,E10,0,0,0,0.4538461538461539,0
11.8,6.1,16,6,E10,0,1,0,0.5169491525423728,0
13.0,5.7,37,11,E10,0,1,0,0.43846153846153846,0
12.3,5.0,42,10,E10,0,0,0,0.4065040650406504,0
12.3,5.2,57,15,E10,0,0,1,0.4227642276422764,0
12.5,4.3,57,16,E10,0,0,1,0.344,0
31.5,4.1,30,16,E10,0,0,1,0.13015873015873014,0
11.8,4.4,42,8,E10,0,0,0,0.3728813559322034,0
24.9,4.5,53,14,E10,0,0,0,0.18072289156626506,0
17.0,3.9,46,14,E10,0,0,1,0.22941176470588234,0
2.0,8.1,20,14,E10,0,0,0,4.05,0
11.8,4.4,33,8,E10,0,0,0,0.3728813559322034,0
7.4,5.0,31,12,E10,0,0,0,0.6756756756756757,0
12.4,4.7,55,14,E10,0,0,1,0.3790322580645161,0
2.0,6.0,22,14,E10,0,0,0,3.0,0
14.0,5.0,41,8,E10,0,0,0,0.35714285714285715,0
25.7,5.0,45,7,E10,0,0,0,0.19455252918287938,0
24.5,3.9,50,15,E10,0,0,1,0.15918367346938775,0
11.8,4.5,28,12,E10,0,0,0,0.3813559322033898,0
4.1,5.4,24,13,E10,0,0,0,1.3170731707317076,0
4.2,5.6,29,17,E10,0,0,0,1.3333333333333333,0
4.2,3.9,29,18,E10,0,0,1,0.9285714285714285,0
16.0,4.0,40,10,E10,0,0,0,0.25,0
22.9,4.0,29,21,E10,0,0,0,0.17467248908296945,0
16.0,3.8,42,8,E10,0,0,0,0.2375,0
15.4,4.5,50,14,E10,0,0,0,0.2922077922077922,0
16.0,3.8,41,12,E10,0,0,0,0.2375,0
4.2,5.6,32,18,E10,0,0,0,1.3333333333333333,0
101.9,5.2,75,18,E10,0,0,0,0.05103042198233562,0
93.9,4.8,88,18,E10,1,0,1,0.051118210862619806,0
25.7,4.9,50,10,SP98,0,1,0,0.1906614785992218,1
16.0,4.1,40,10,SP98,0,0,0,0.25625,1
16.1,4.5,32,19,SP98,0,0,0,0.2795031055900621,1
16.0,4.4,40,7,SP98,1,1,0,0.275,1
16.0,4.5,41,11,SP98,0,0,0,0.28125,1
24.7,4.5,26,10,SP98,0,0,0,0.18218623481781376,1
16.0,3.9,42,8,SP98,0,0,0,0.24375,1
15.4,4.6,43,16,SP98,0,0,0,0.2987012987012987,1
16.0,3.8,40,8,SP98,0,0,0,0.2375,1
32.1,4.5,50,16,SP98,0,0,0,0.14018691588785046,1
25.9,4.4,40,14,SP98,0,0,0,0.1698841698841699,1
48.6,4.3,44,12,SP98,0,0,0,0.08847736625514403,1
37.2,4.0,45,20,SP98,0,0,1,0.1075268817204301,1
28.8,3.9,35,15,SP98,0,0,1,0.13541666666666666,1
6.7,5.0,30,17,SP98,0,0,0,0.7462686567164178,1
7.4,4.1,25,18,SP98,0,0,1,0.554054054054054,1
17.3,4.1,22,25,SP98,0,0,1,0.23699421965317916,1
6.6,5.6,43,16,SP98,0,0,0,0.8484848484848485,1
14.3,4.1,26,20,SP98,0,0,0,0.28671328671328666,1
13.3,4.6,33,18,SP98,0,0,0,0.3458646616541353,1
8.3,4.9,26,23,SP98,0,0,0,0.5903614457831325,1
12.7,4.5,39,27,SP98,0,0,1,0.35433070866141736,1
16.5,4.1,47,14,SP98,0,0,0,0.24848484848484848,1
20.6,4.1,38,21,SP98,0,0,0,0.1990291262135922,1
16.3,4.5,58,16,SP98,0,0,0,0.2760736196319018,1
18.7,4.2,65,18,SP98,1,0,1,0.22459893048128343,1
36.5,3.9,54,18,SP98,0,0,1,0.10684931506849314,1
19.0,5.0,35,15,SP98,1,0,1,0.2631578947368421,1
16.6,4.4,46,5,SP98,1,0,0,0.26506024096385544,1
29.9,4.5,32,18,SP98,1,0,0,0.1505016722408027,1
16.0,3.8,42,11,SP98,0,0,0,0.2375,1
21.1,5.1,33,10,SP98,0,1,0,0.24170616113744073,1
16.0,3.9,40,10,SP98,0,0,0,0.24375,1
11.9,5.3,34,13,SP98,0,0,0,0.4453781512605042,1
10.1,4.2,35,16,SP98,0,0,0,0.4158415841584159,1
31.9,4.3,33,16,SP98,0,0,0,0.13479623824451412,1
18.7,4.0,60,13,SP98,0,0,0,0.21390374331550802,1
10.8,4.7,48,17,SP98,0,0,1,0.4351851851851852,1
19.8,4.0,56,17,SP98,0,0,1,0.20202020202020202,1
11.3,4.3,38,17,SP98,0,0,0,0.3805309734513274,1
11.5,5.3,53,15,SP98,0,0,0,0.4608695652173913,1
21.4,5.2,51,13,SP98,0,0,0,0.2429906542056075,1
32.0,4.9,53,15,SP98,0,0,0,0.153125,1
41.9,4.7,53,14,SP98,0,0,0,0.11217183770883056,1
211.0,4.6,80,20,SP98,0,0,0,0.021800947867298578,1
216.1,5.3,90,21,SP98,0,0,1,0.024525682554372975,1
25.5,3.6,27,27,SP98,0,0,1,0.1411764705882353,1
16.6,4.2,52,15,SP98,0,1,0,0.25301204819277107,1
25.9,4.1,43,24,SP98,0,0,0,0.1583011583011583,1
16.5,4.0,48,15,SP98,0,0,0,0.24242424242424243,1
22.1,3.9,29,26,SP98,0,0,0,0.1764705882352941,1
16.6,3.7,49,17,E10,0,0,0,0.22289156626506024,0
15.4,4.5,43,24,E10,0,0,0,0.2922077922077922,0
16.5,3.9,43,17,E10,0,0,0,0.23636363636363636,0
15.4,5.1,21,24,E10,0,0,0,0.3311688311688311,0
18.4,4.2,59,24,E10,0,0,0,0.2282608695652174,0
39.5,4.2,58,25,E10,0,0,0,0.10632911392405063,0
21.5,4.8,47,27,E10,1,0,1,0.22325581395348837,0
4.8,4.7,26,18,E10,0,0,0,0.9791666666666667,0
100.9,4.7,87,22,E10,0,0,0,0.04658077304261645,0
16.6,3.8,43,16,E10,0,0,0,0.22891566265060237,0
15.4,4.2,50,21,E10,0,0,0,0.2727272727272727,0
16.0,3.7,45,17,E10,0,0,0,0.23125,0
16.0,4.2,41,15,E10,0,0,0,0.2625,0
15.4,4.1,45,24,E10,0,0,0,0.2662337662337662,0
16.0,4.0,43,16,E10,0,0,0,0.25,0
21.0,3.8,37,21,E10,0,0,0,0.18095238095238095,0
15.4,3.8,47,24,E10,0,0,0,0.24675324675324672,0
16.0,3.8,42,17,E10,0,0,0,0.2375,0
16.1,5.1,30,16,E10,1,1,0,0.31677018633540366,0
16.0,4.0,42,15,E10,0,0,0,0.25,0
15.4,4.8,40,18,E10,0,0,0,0.3116883116883117,0
17.2,3.9,35,16,E10,0,0,0,0.22674418604651164,0
16.6,4.6,50,25,E10,0,0,0,0.2771084337349397,0
18.3,4.3,46,16,SP98,0,0,0,0.2349726775956284,1
16.1,4.8,36,18,SP98,0,1,0,0.29813664596273287,1
16.0,4.1,46,17,SP98,0,0,0,0.25625,1
16.3,4.0,35,23,SP98,0,0,0,0.24539877300613497,1
16.0,3.7,44,16,SP98,0,0,0,0.23125,1
18.3,4.3,46,23,SP98,0,0,0,0.2349726775956284,1
4.5,5.2,23,23,SP98,0,0,1,1.1555555555555557,1
17.0,4.2,48,16,SP98,0,0,0,0.24705882352941178,1
6.1,5.0,35,18,SP98,0,0,0,0.819672131147541,1
6.1,5.0,33,24,SP98,0,0,1,0.819672131147541,1
17.3,4.2,36,22,SP98,0,0,0,0.24277456647398843,1
6.0,4.8,27,17,SP98,0,0,0,0.7999999999999999,1
16.0,4.1,45,15,SP98,0,0,0,0.25625,1
15.4,4.9,55,18,SP98,0,0,0,0.3181818181818182,1
15.4,4.3,39,23,SP98,0,0,0,0.2792207792207792,1
16.0,3.9,35,18,SP98,0,0,0,0.24375,1
15.4,4.5,52,26,SP98,0,0,0,0.2922077922077922,1
16.6,4.1,48,30,SP98,1,0,1,0.24698795180722888,1
15.4,5.0,48,31,SP98,1,0,0,0.3246753246753247,1
16.0,4.0,43,21,SP98,1,0,0,0.25,1
15.4,4.5,42,30,SP98,0,0,0,0.2922077922077922,1
16.0,3.6,43,19,SP98,0,0,0,0.225,1
20.9,4.1,33,21,SP98,0,0,0,0.19617224880382775,1
32.1,3.9,47,26,SP98,0,0,0,0.12149532710280372,1
15.3,6.6,16,27,SP98,1,0,0,0.4313725490196078,1
28.5,4.0,44,23,SP98,1,0,0,0.14035087719298245,1
11.9,3.7,33,19,SP98,0,0,0,0.31092436974789917,1
14.5,4.3,36,22,SP98,0,0,0,0.296551724137931,1
16.6,4.1,49,26,SP98,0,0,1,0.24698795180722888,1
16.2,4.4,39,17,SP98,1,0,0,0.271604938271605,1
16.7,3.8,44,23,SP98,0,0,1,0.2275449101796407,1
8.3,5.0,52,27,SP98,0,0,0,0.6024096385542168,1
5.5,3.7,33,28,SP98,0,0,1,0.6727272727272727,1
13.6,3.7,33,28,SP98,0,0,1,0.2720588235294118,1
16.0,3.7,39,18,SP98,0,0,0,0.23125,1
16.1,4.3,38,31,SP98,1,0,0,0.26708074534161486,1
16.0,3.8,45,19,SP98,0,0,0,0.2375,1
15.4,4.6,42,31,SP98,1,0,0,0.2987012987012987,1
14.7,5.0,25,30,SP98,1,0,0,0.3401360544217687,1
