distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,fuel_used,trip_cost
12.8,4.6,22,22.5,12,SP98,0,0,0,0.59,1.18
19.0,4.4,58,22.5,17,SP98,0,0,1,0.84,1.68
29.0,4.0,27,22.5,12,SP98,0,0,0,1.16,2.32
12.1,5.0,32,22.5,9,SP98,0,0,0,0.6,1.2
12.3,5.2,55,22.5,10,SP98,0,0,0,0.64,1.28
24.8,4.0,56,22.5,11,SP98,0,0,0,0.99,1.98
12.9,5.1,34,22.5,8,SP98,0,1,0,0.66,1.32
11.8,4.5,39,22.5,3,SP98,0,0,0,0.53,1.06
31.4,4.6,62,22.5,11,SP98,0,0,0,1.44,2.88
19.0,5.1,53,22.5,4,SP98,0,1,0,0.97,1.94
13.0,5.7,38,22.5,3,SP98,1,1,0,0.74,1.48
11.8,4.8,42,22.5,2,SP98,0,0,0,0.57,1.14
13.0,6.2,32,22.5,4,SP98,0,0,0,0.81,1.62
11.8,5.0,43,22.5,1,SP98,0,0,0,0.59,1.18
27.1,5.0,69,22.5,8,SP98,0,0,0,1.36,2.72
5.2,4.6,38,22.5,8,SP98,0,0,0,0.24,0.48
19.0,4.5,29,22.5,10,E10,0,0,0,0.86,1.63
12.4,4.8,38,22.5,1,E10,0,0,0,0.6,1.14
25.2,5.0,55,22.5,9,E10,0,0,0,1.26,2.39
14.3,4.8,36,22.5,10,E10,0,0,0,0.69,1.31
11.8,4.6,40,22.5,2,E10,0,0,0,0.54,1.03
16.9,4.5,48,22.5,9,E10,0,0,1,0.76,1.44
12.4,4.6,55,22.5,11,E10,0,0,1,0.57,1.08
17.4,4.4,36,22.5,12,E10,0,0,1,0.77,1.46
9.2,5.7,33,22.5,8,E10,0,1,0,0.52,0.99
12.3,5.8,54,22.5,10,E10,0,1,0,0.71,1.35
13.0,5.9,32,22.5,10,E10,0,0,0,0.77,1.46
11.8,6.1,16,22.5,6,E10,0,1,0,0.72,1.37
13.0,5.7,37,22.5,11,E10,0,1,0,0.74,1.41
12.3,5.0,42,22.5,10,E10,0,0,0,0.62,1.18
12.3,5.2,57,22.5,15,E10,0,0,1,0.64,1.22
12.5,4.3,57,22.5,16,E10,0,0,1,0.54,1.03
31.5,4.1,30,22.5,16,E10,0,0,1,1.29,2.45
11.8,4.4,42,22.5,8,E10,0,0,0,0.52,0.99
24.9,4.5,53,22.5,14,E10,0,0,0,1.12,2.13
17.0,3.9,46,22.5,14,E10,0,0,1,0.66,1.25
2.0,8.1,20,22.5,14,E10,0,0,0,0.16,0.3
11.8,4.4,33,22.5,8,E10,0,0,0,0.52,0.99
7.4,5.0,31,22.5,12,E10,0,0,0,0.37,0.7
12.4,4.7,55,22.5,14,E10,0,0,1,0.58,1.1
2.0,6.0,22,22.5,14,E10,0,0,0,0.12,0.23
14.0,5.0,41,22.5,8,E10,0,0,0,0.7,1.33
25.7,5.0,45,22.5,7,E10,0,0,0,1.28,2.43
24.5,3.9,50,21.929521276595743,15,E10,0,0,1,0.96,1.82
11.8,4.5,28,22.5,12,E10,0,0,0,0.53,1.01
4.1,5.4,24,22.5,13,E10,0,0,0,0.22,0.42
4.2,5.6,29,22.0,17,E10,0,0,0,0.24,0.46
4.2,3.9,29,22.0,18,E10,0,0,1,0.16,0.3
16.0,4.0,40,22.0,10,E10,0,0,0,0.64,1.22
22.9,4.0,29,21.929521276595743,21,E10,0,0,0,0.92,1.75
16.0,3.8,42,21.929521276595743,8,E10,0,0,0,0.61,1.16
15.4,4.5,50,22.0,14,E10,0,0,0,0.69,1.31
16.0,3.8,41,22.0,12,E10,0,0,0,0.61,1.16
4.2,5.6,32,22.0,18,E10,0,0,0,0.24,0.46
101.9,5.2,75,22.0,18,E10,0,0,0,5.3,10.07
93.9,4.8,88,23.0,18,E10,1,0,1,4.51,8.57
25.7,4.9,50,22.0,10,SP98,0,1,0,1.26,2.52
16.0,4.1,40,22.0,10,SP98,0,0,0,0.66,1.32
16.1,4.5,32,22.0,19,SP98,0,0,0,0.72,1.44
16.0,4.4,40,22.0,7,SP98,1,1,0,0.7,1.4
16.0,4.5,41,22.0,11,SP98,0,0,0,0.72,1.44
24.7,4.5,26,22.0,10,SP98,0,0,0,1.11,2.22
16.0,3.9,42,22.0,8,SP98,0,0,0,0.62,1.24
15.4,4.6,43,22.0,16,SP98,0,0,0,0.71,1.42
16.0,3.8,40,22.0,8,SP98,0,0,0,0.61,1.22
32.1,4.5,50,22.0,16,SP98,0,0,0,1.44,2.88
25.9,4.4,40,22.0,14,SP98,0,0,0,1.14,2.28
48.6,4.3,44,22.0,12,SP98,0,0,0,2.09,4.18
37.2,4.0,45,22.0,20,SP98,0,0,1,1.49,2.98
28.8,3.9,35,22.0,15,SP98,0,0,1,1.12,2.24
6.7,5.0,30,22.0,17,SP98,0,0,0,0.34,0.68
7.4,4.1,25,22.0,18,SP98,0,0,1,0.3,0.6
17.3,4.1,22,22.0,25,SP98,0,0,1,0.71,1.42
6.6,5.6,43,22.0,16,SP98,0,0,0,0.37,0.74
14.3,4.1,26,22.0,20,SP98,0,0,0,0.59,1.18
13.3,4.6,33,22.0,18,SP98,0,0,0,0.61,1.22
8.3,4.9,26,22.0,23,SP98,0,0,0,0.41,0.82
12.7,4.5,39,22.0,27,SP98,0,0,1,0.57,1.14
16.5,4.1,47,22.0,14,SP98,0,0,0,0.68,1.36
20.6,4.1,38,22.0,21,SP98,0,0,0,0.84,1.68
16.3,4.5,58,22.0,16,SP98,0,0,0,0.73,1.46
18.7,4.2,65,25.0,18,SP98,1,0,1,0.79,1.58
36.5,3.9,54,23.0,18,SP98,0,0,1,1.42,2.84
19.0,5.0,35,22.0,15,SP98,1,0,1,0.95,1.9
16.6,4.4,46,22.0,5,SP98,1,0,0,0.73,1.46
29.9,4.5,32,22.0,18,SP98,1,0,0,1.35,2.7
16.0,3.8,42,22.0,11,SP98,0,0,0,0.61,1.22
21.1,5.1,33,22.0,10,SP98,0,1,0,1.08,2.16
16.0,3.9,40,22.0,10,SP98,0,0,0,0.62,1.24
11.9,5.3,34,22.0,13,SP98,0,0,0,0.63,1.26
10.1,4.2,35,22.0,16,SP98,0,0,0,0.42,0.84
31.9,4.3,33,22.0,16,SP98,0,0,0,1.37,2.74
18.7,4.0,60,22.0,13,SP98,0,0,0,0.75,1.5
10.8,4.7,48,22.0,17,SP98,0,0,1,0.51,1.02
19.8,4.0,56,22.0,17,SP98,0,0,1,0.79,1.58
11.3,4.3,38,22.0,17,SP98,0,0,0,0.49,0.98
11.5,5.3,53,22.0,15,SP98,0,0,0,0.61,1.22
21.4,5.2,51,22.0,13,SP98,0,0,0,1.11,2.22
32.0,4.9,53,22.0,15,SP98,0,0,0,1.57,3.14
41.9,4.7,53,22.0,14,SP98,0,0,0,1.97,3.94
211.0,4.6,80,22.0,20,SP98,0,0,0,9.71,19.42
216.1,5.3,90,22.0,21,SP98,0,0,1,11.45,22.9
25.5,3.6,27,22.0,27,SP98,0,0,1,0.92,1.84
16.6,4.2,52,22.0,15,SP98,0,1,0,0.7,1.4
25.9,4.1,43,22.0,24,SP98,0,0,0,1.06,2.12
16.5,4.0,48,22.0,15,SP98,0,0,0,0.66,1.32
22.1,3.9,29,22.0,26,SP98,0,0,0,0.86,1.72
16.6,3.7,49,22.0,17,E10,0,0,0,0.61,1.16
15.4,4.5,43,22.0,24,E10,0,0,0,0.69,1.31
16.5,3.9,43,22.0,17,E10,0,0,0,0.64,1.22
15.4,5.1,21,22.0,24,E10,0,0,0,0.79,1.5
18.4,4.2,59,22.0,24,E10,0,0,0,0.77,1.46
39.5,4.2,58,22.0,25,E10,0,0,0,1.66,3.15
21.5,4.8,47,25.0,27,E10,1,0,1,1.03,1.96
4.8,4.7,26,25.0,18,E10,0,0,0,0.23,0.44
100.9,4.7,87,23.5,22,E10,0,0,0,4.74,9.01
129.7,4.6,58,24.0,21,E10,0,0,0,5.97,11.34
16.6,3.8,43,21.5,16,E10,0,0,0,0.63,1.2
15.4,4.2,50,21.5,21,E10,0,0,0,0.65,1.23
16.0,3.7,45,22.0,17,E10,0,0,0,0.59,1.12
16.0,4.2,41,22.0,15,E10,0,0,0,0.67,1.27
15.4,4.1,45,22.0,24,E10,0,0,0,0.63,1.2
16.0,4.0,43,22.0,16,E10,0,0,0,0.64,1.22
21.0,3.8,37,22.0,21,E10,0,0,0,0.8,1.52
15.4,3.8,47,22.0,24,E10,0,0,0,0.59,1.12
16.0,3.8,42,22.0,17,E10,0,0,0,0.61,1.16
16.1,5.1,30,25.0,16,E10,1,1,0,0.82,1.56
16.0,4.0,42,22.0,15,E10,0,0,0,0.64,1.22
15.4,4.8,40,22.0,18,E10,0,0,0,0.74,1.41
17.2,3.9,35,22.0,16,E10,0,0,0,0.67,1.27
16.6,4.6,50,22.0,25,E10,0,0,0,0.76,1.44
18.3,4.3,46,22.0,16,SP98,0,0,0,0.79,1.58
16.1,4.8,36,22.0,18,SP98,0,1,0,0.77,1.54
16.0,4.1,46,22.0,17,SP98,0,0,0,0.66,1.32
16.3,4.0,35,22.0,23,SP98,0,0,0,0.65,1.3
16.0,3.7,44,22.0,16,SP98,0,0,0,0.59,1.18
18.3,4.3,46,22.0,23,SP98,0,0,0,0.79,1.58
4.5,5.2,23,22.0,23,SP98,0,0,1,0.23,0.46
17.0,4.2,48,22.0,16,SP98,0,0,0,0.71,1.42
6.1,5.0,35,24.5,18,SP98,0,0,0,0.3,0.6
6.1,5.0,33,22.0,24,SP98,0,0,1,0.3,0.6
17.3,4.2,36,22.0,22,SP98,0,0,0,0.73,1.46
6.0,4.8,27,22.0,17,SP98,0,0,0,0.29,0.58
16.0,4.1,45,22.0,15,SP98,0,0,0,0.66,1.32
15.4,4.9,55,22.0,18,SP98,0,0,0,0.75,1.5
15.4,4.3,39,22.0,23,SP98,0,0,0,0.66,1.32
16.0,3.9,35,22.0,18,SP98,0,0,0,0.62,1.24
15.4,4.5,52,22.0,26,SP98,0,0,0,0.69,1.38
16.6,4.1,48,25.5,30,SP98,1,0,1,0.68,1.36
15.4,5.0,48,25.5,31,SP98,1,0,0,0.77,1.54
16.0,4.0,43,22.0,21,SP98,1,0,0,0.64,1.28
15.4,4.5,42,22.0,30,SP98,0,0,0,0.69,1.38
16.0,3.6,43,22.0,19,SP98,0,0,0,0.58,1.16
20.9,4.1,33,22.0,21,SP98,0,0,0,0.86,1.72
32.1,3.9,47,22.0,26,SP98,0,0,0,1.25,2.5
15.3,6.6,16,24.0,27,SP98,1,0,0,1.01,2.02
28.5,4.0,44,25.0,23,SP98,1,0,0,1.14,2.28
11.9,3.7,33,25.0,19,SP98,0,0,0,0.44,0.88
14.5,4.3,36,25.0,22,SP98,0,0,0,0.62,1.24
16.6,4.1,49,22.0,26,SP98,0,0,1,0.68,1.36
16.2,4.4,39,24.5,17,SP98,1,0,0,0.71,1.42
16.7,3.8,44,24.5,23,SP98,0,0,1,0.63,1.26
8.3,5.0,52,24.5,27,SP98,0,0,0,0.42,0.84
5.5,3.7,33,24.5,28,SP98,0,0,1,0.2,0.4
13.6,3.7,33,24.5,28,SP98,0,0,1,0.5,1.0
16.0,3.7,39,24.5,18,SP98,0,0,0,0.59,1.18
16.1,4.3,38,25.0,31,SP98,1,0,0,0.69,1.38
16.0,3.8,45,25.0,19,SP98,0,0,0,0.61,1.22
15.4,4.6,42,25.0,31,SP98,1,0,0,0.71,1.42
14.7,5.0,25,25.0,30,SP98,1,0,0,0.74,1.48
